id,educate,american,group
5064,16,7.9999995,Not immigrant
5066,18,6.666666,Not immigrant
5071,16,10,Not immigrant
5075,20,30,Not immigrant
5081,20,14.000001,Not immigrant
5094,13,2.5,Not immigrant
5102,12,23.333332,Not immigrant
5106,16,5,Not immigrant
5109,12,15,Not immigrant
5116,12,15,Not immigrant
5122,10,0,Not immigrant
5129,13,10,Not immigrant
5133,10,0,Not immigrant
5160,12,15,Not immigrant
5175,20,18,Not immigrant
5176,14,10,Not immigrant
5186,16,15,Not immigrant
5199,20,27.5,Not immigrant
5205,12,3.9999998,Not immigrant
5226,14,10,Not immigrant
5227,12,10,Not immigrant
5239,14,7.5,Not immigrant
5244,14,26.666668,Not immigrant
5250,14,20,Not immigrant
5255,16,15,Not immigrant
5269,20,22,Not immigrant
5278,20,14.000001,Not immigrant
5286,14,23.333332,Not immigrant
5293,16,15.999999,Not immigrant
5325,20,28,Not immigrant
5344,16,7.5,Not immigrant
5347,14,8.333334,Not immigrant
5352,16,7.5,Not immigrant
5360,14,12.5,Not immigrant
5368,10,0,Not immigrant
5399,18,15,Not immigrant
5400,12,10,Not immigrant
5401,16,15,Not immigrant
5403,12,12.5,Not immigrant
5407,14,0,Not immigrant
5414,14,7.9999995,Not immigrant
5418,12,20,Not immigrant
5419,12,2.0000005,Not immigrant
5428,14,13.333332,Not immigrant
5436,16,20,Not immigrant
5457,16,10,Not immigrant
5489,14,15,Not immigrant
5499,16,12,Not immigrant
5505,20,17.5,Not immigrant
5543,16,15,Not immigrant
5544,14,7.9999995,Not immigrant
5562,20,3.9999998,Not immigrant
5563,12,23.333332,Not immigrant
5594,14,18,Not immigrant
5614,12,12,Not immigrant
5628,18,12.5,Not immigrant
5631,16,20,Not immigrant
5634,12,0,Not immigrant
5641,16,15.999999,Not immigrant
5673,14,10,Not immigrant
5675,12,5,Not immigrant
5681,16,14.000001,Not immigrant
5684,14,10,Not immigrant
5691,18,15,Not immigrant
5723,12,11.666668,Not immigrant
5734,13,7.5,Not immigrant
5742,12,12.5,Not immigrant
5755,12,5,Not immigrant
5776,14,15,Not immigrant
5781,12,17.5,Not immigrant
5808,16,7.5,Not immigrant
5827,20,12.5,Not immigrant
5835,12,26,Not immigrant
5850,14,10,Not immigrant
5859,12,17.5,Not immigrant
5862,14,14.000001,Not immigrant
5873,14,15.999999,Not immigrant
5875,12,0,Not immigrant
5879,14,12,Not immigrant
5888,13,2.5,Not immigrant
5911,13,12.5,Not immigrant
5919,12,12.5,Not immigrant
5944,12,3.9999998,Not immigrant
5952,12,5,Not immigrant
5956,14,10,Not immigrant
5961,12,7.5,Not immigrant
5969,10,7.5,Not immigrant
5981,14,12,Not immigrant
5983,16,20,Not immigrant
5984,18,12.5,Not immigrant
5990,16,12.5,Not immigrant
5992,12,7.5,Not immigrant
5996,16,3.9999998,Not immigrant
6005,18,20,Not immigrant
6028,14,20,Not immigrant
6033,12,23.333332,Not immigrant
6060,12,5,Not immigrant
6068,20,15,Not immigrant
6077,12,18.333332,Not immigrant
6082,14,14.000001,Not immigrant
6084,12,0,Not immigrant
6085,14,10,Not immigrant
6088,16,22.5,Not immigrant
6090,16,15,Not immigrant
6094,18,14.000001,Not immigrant
6102,14,14.000001,Not immigrant
6105,14,14.000001,Not immigrant
6110,20,14.000001,Not immigrant
6112,20,8.333334,Not immigrant
6126,10,10,Not immigrant
6127,16,14.000001,Not immigrant
6131,10,10,Not immigrant
6136,14,5,Not immigrant
6139,12,20,Not immigrant
6147,14,20,Not immigrant
6153,14,10,Not immigrant
6154,20,17.5,Not immigrant
6157,12,22.5,Not immigrant
6164,20,13.333332,Not immigrant
6170,14,12,Not immigrant
6176,14,12,Not immigrant
6177,14,18,Not immigrant
6202,12,12,Not immigrant
6206,12,18,Not immigrant
6208,14,20,Not immigrant
6210,12,12,Not immigrant
6214,16,14.000001,Not immigrant
6218,13,2.0000005,Not immigrant
6220,14,3.9999998,Not immigrant
6231,14,15,Not immigrant
6240,13,12,Not immigrant
6243,12,20,Not immigrant
6248,14,10,Not immigrant
6250,14,15,Not immigrant
6262,18,11.666668,Not immigrant
6264,16,22.5,Not immigrant
6268,10,5,Not immigrant
6269,14,22,Not immigrant
6276,20,10,Not immigrant
6291,16,17.5,Not immigrant
6293,14,18,Not immigrant
6303,18,11.666668,Not immigrant
6305,16,22.5,Not immigrant
6314,10,11.666668,Not immigrant
6327,14,10,Not immigrant
6331,18,13.333332,Not immigrant
6334,14,20,Not immigrant
6337,12,10,Not immigrant
6339,14,7.5,Not immigrant
6341,16,12.5,Not immigrant
6343,14,12.5,Not immigrant
6349,12,23.333332,Not immigrant
10006,20,20,Not immigrant
10035,10,0,Not immigrant
10054,12,20,Not immigrant
10055,12,12.5,Not immigrant
10066,14,20,Not immigrant
10079,14,23.333332,Not immigrant
10090,10,15,Not immigrant
10109,16,14.000001,Not immigrant
10120,14,21.666668,Not immigrant
10132,14,15.999999,Not immigrant
10193,20,20,Not immigrant
10217,20,12.5,Not immigrant
10223,12,10,Not immigrant
10224,16,20,Not immigrant
10226,14,7.5,Not immigrant
10255,16,15.999999,Not immigrant
10265,16,10,Not immigrant
10277,16,8.333334,Not immigrant
10283,20,16.666668,Not immigrant
10328,12,6,Not immigrant
10397,20,8.333334,Not immigrant
10402,12,10,Not immigrant
10419,14,13.333332,Not immigrant
10422,10,20,Not immigrant
10443,20,6.666666,Not immigrant
10464,14,2.5,Not immigrant
10466,16,12.5,Not immigrant
10483,14,6.666666,Not immigrant
10500,14,26.666668,Not immigrant
10535,14,23.333332,Not immigrant
10548,20,14.000001,Not immigrant
10557,14,10,Not immigrant
10563,16,7.9999995,Not immigrant
10582,14,12,Not immigrant
10604,12,13.333332,Not immigrant
10633,16,12,Not immigrant
10643,10,16.666668,Not immigrant
10644,20,18,Not immigrant
10680,16,10,Not immigrant
10685,16,10,Not immigrant
10689,20,6,Not immigrant
10697,20,23.333332,Not immigrant
10711,12,12,Not immigrant
10712,14,20,Not immigrant
10731,14,14.000001,Not immigrant
10735,14,10,Not immigrant
10738,10,6.666666,Not immigrant
10740,16,20,Not immigrant
10760,14,8.333334,Not immigrant
10764,10,2.0000005,Not immigrant
10775,16,15,Not immigrant
10789,12,6.666666,Not immigrant
10793,18,15,Not immigrant
10807,20,20,Not immigrant
10822,14,20,Not immigrant
10828,20,13.333332,Not immigrant
10829,14,20,Not immigrant
10851,20,30,Not immigrant
10867,16,6,Not immigrant
10879,12,6,Not immigrant
10880,14,23.333332,Not immigrant
10908,13,17.5,Not immigrant
10922,14,30,Not immigrant
10926,16,23.333332,Not immigrant
10939,20,15,Not immigrant
10944,14,15.999999,Not immigrant
10976,12,16.666668,Not immigrant
10988,14,2.5,Not immigrant
10989,16,15,Not immigrant
10992,12,6,Not immigrant
