state,county,teen_birth_rate,per_uninsured,per_hsgrads,per_child_poverty,per_singleparent
Florida,Levy,58,26,71,42,37
Florida,Liberty,71,29,75,28,41
Florida,Madison,60,26,65,36,45
Florida,Manatee,64,24,76,23,37
Florida,Marion,57,24,78,31,38
Florida,Martin,38,22,90,17,29
Florida,Miami-Dade,37,34,72,26,39
Florida,Monroe,29,27,85,19,31
Florida,Nassau,50,20,90,18,29
Florida,Okaloosa,47,19,89,20,31
Florida,Okeechobee,88,32,65,33,33
Florida,Orange,47,25,79,23,36
Florida,Osceola,54,27,83,24,37
Florida,Palm Beach,38,26,82,22,36
Florida,Pasco,41,24,82,21,28
Florida,Pinellas,40,22,78,20,39
Florida,Polk,65,22,73,28,35
Florida,Putnam,73,24,75,38,44
Florida,St. Johns,26,17,92,14,22
Florida,St. Lucie,53,26,79,27,37
Florida,Santa Rosa,38,20,88,18,29
Florida,Sarasota,34,24,84,22,34
Florida,Seminole,27,20,94,14,30
Florida,Sumter,62,21,87,34,35
Florida,Suwannee,76,27,63,30,37
Florida,Taylor,67,25,74,31,41
Florida,Union,70,27,76,26,35
Florida,Volusia,42,24,81,27,35
Florida,Wakulla,40,22,83,20,25
Florida,Walton,56,25,83,27,32
Florida,Washington,60,24,84,31,31
Georgia,Appling,80,24,80,36,32
Georgia,Atkinson,107,29,82,58,45
Georgia,Bacon,90,24,83,36,29
Georgia,Baker,33,24,77,41,57
Georgia,Baldwin,42,21,77,35,53
Georgia,Banks,60,24,75,25,23
Georgia,Barrow,55,23,75,18,26
Georgia,Bartow,76,21,82,22,29
Georgia,Ben Hill,99,23,75,42,43
Georgia,Berrien,95,23,75,34,27
Georgia,Bibb,63,19,63,39,51
Georgia,Bleckley,43,19,78,27,31
Georgia,Brantley,46,25,71,32,33
Georgia,Brooks,67,24,71,38,38
Georgia,Bryan,41,18,83,17,29
Georgia,Bulloch,33,22,82,32,38
Georgia,Burke,77,20,72,47,48
Georgia,Butts,80,21,77,24,30
Georgia,Calhoun,90,27,79,41,60
Georgia,Camden,59,18,85,21,33
Georgia,Candler,120,28,78,38,46
Georgia,Carroll,54,21,80,24,30
Georgia,Catoosa,55,18,80,21,29
Georgia,Charlton,62,24,84,32,47
Georgia,Chatham,57,21,78,28,47
Georgia,Chattahoochee,29,20,87,21,23
Georgia,Chattooga,84,24,83,29,40
Georgia,Cherokee,33,17,82,12,20
Georgia,Clarke,28,23,70,36,47
Georgia,Clayton,60,23,82,34,49
Georgia,Clinch,94,24,82,35,39
Georgia,Cobb,36,20,87,20,28
Georgia,Coffee,99,27,74,39,38
Georgia,Colquitt,96,27,81,35,40
Georgia,Columbia,27,14,85,11,25
Georgia,Cook,81,25,66,37,38
Georgia,Coweta,47,17,84,17,25
Georgia,Crawford,34,22,65,30,39
Georgia,Crisp,105,23,66,47,60
Georgia,Dade,35,22,77,22,34
Georgia,Dawson,55,22,85,22,23
Georgia,Decatur,80,24,77,39,52
Georgia,DeKalb,48,23,79,27,46
Georgia,Dodge,72,23,83,33,36
Georgia,Dooly,91,23,69,35,58
Georgia,Dougherty,75,21,78,49,61
Georgia,Douglas,45,20,81,19,35
Georgia,Early,76,20,84,40,47
Georgia,Echols,39,34,89,41,39
Georgia,Effingham,40,18,82,15,22
Georgia,Elbert,64,24,74,38,46
Georgia,Emanuel,82,27,81,43,42
Georgia,Evans,93,26,68,37,48
Georgia,Fannin,63,26,91,28,31
Georgia,Fayette,15,10,94,10,17
Georgia,Floyd,64,22,79,26,36
Georgia,Forsyth,28,13,90,9,13
Georgia,Franklin,69,24,73,29,31
Georgia,Fulton,47,23,80,24,42
Georgia,Gilmer,89,27,88,29,32
Georgia,Glascock,47,21,80,24,22
Georgia,Glynn,71,21,73,30,40
Georgia,Gordon,91,24,84,26,26
Georgia,Grady,87,25,82,38,49
Georgia,Greene,59,23,74,42,54
Georgia,Gwinnett,39,23,85,19,26
Georgia,Habersham,72,27,83,26,26
Georgia,Hall,71,26,79,25,28
Georgia,Hancock,65,23,89,42,76
Georgia,Haralson,69,22,82,29,36
Georgia,Harris,31,15,87,13,23
Georgia,Hart,52,23,73,30,33
Georgia,Heard,57,22,82,31,27
Georgia,Henry,40,16,82,14,28
Georgia,Houston,45,17,83,21,35
Georgia,Irwin,58,23,74,35,33
Georgia,Jackson,67,21,86,21,28
Georgia,Jasper,55,21,74,30,40
Georgia,Jeff Davis,106,24,83,35,30
Georgia,Jefferson,77,23,72,44,52
