State,StateCode,County,CountyCode,BingeDrink,TeenBirths,PrimaryCare,PerHSGrads,PerSingleParentHH,ViolentCrime,UnhealthyFoods,PerFastFood
Florida,9,Miami-Dade,290.09,13,37,124,72,39,903,3,46
Florida,9,Monroe,291.09,26,29,87,85,31,576,1,28
Florida,9,Nassau,292.09,16,50,56,90,29,1007,18,47
Florida,9,Okaloosa,293.09,17,47,134,89,31,360,15,44
Florida,9,Okeechobee,294.09,15,88,47,65,33,646,2,43
Florida,9,Orange,295.09,16,47,119,79,36,1052,8,48
Florida,9,Osceola,296.09,14,54,64,83,37,612,15,45
Florida,9,Palm Beach,297.09,16,38,98,82,36,681,6,41
Florida,9,Pasco,298.09,16,41,65,82,28,391,15,42
Florida,9,Pinellas,299.09,17,40,121,78,39,801,5,41
Florida,9,Polk,300.09,13,65,68,73,35,496,19,46
Florida,9,Putnam,301.09,13,73,46,75,44,1095,1,49
Florida,9,St. Johns,302.09,21,26,126,92,22,368,14,37
Florida,9,St. Lucie,303.09,12,53,49,79,37,541,16,45
Florida,9,Santa Rosa,304.09,15,38,99,88,29,198,21,53
Florida,9,Sarasota,305.09,15,34,114,84,34,407,7,36
Florida,9,Seminole,306.09,19,27,105,94,30,403,7,48
Florida,9,Sumter,307.09,13,62,33,87,35,303,0,37
Florida,9,Suwannee,308.09,13,76,23,63,37,610,3,43
Florida,9,Taylor,309.09,13,67,47,74,41,1323,4,42
Florida,9,Union,310.09,20,70,54,76,35,357,3,50
Florida,9,Volusia,311.09,18,42,105,81,35,577,15,42
Florida,9,Wakulla,312.09,21,40,26,83,25,338,25,41
Florida,9,Walton,313.09,20,56,59,83,32,385,4,29
Florida,9,Washington,314.09,11,60,46,84,31,165,19,52
Georgia,10,Baldwin,315.10001,13,42,104,77,53,765,0,51
Georgia,10,Banks,316.10001,7,60,18,75,23,704,1,54
Georgia,10,Barrow,317.10001,15,55,48,75,26,488,18,55
Georgia,10,Bartow,318.10001,17,76,65,82,29,391,21,47
Georgia,10,Berrien,319.10001,10,95,41,75,27,311,5,47
Georgia,10,Bibb,320.10001,11,63,232,63,51,617,10,56
Georgia,10,Bleckley,321.10001,10,43,70,78,31,339,1,45
